Distributor Name,Location,Vertical,Annual Sales Range,ARR Band,# of Products,Starting MRR,Ending MRR,MRR Growth,% MRR Growth,Starting ARR,Ending ARR,Segment
Vasquez Distribution,"North Julie, NJ, US",Produce,$25mm - $50mm,$75k - $100k,2,"$7,079","$7,131",$52,0.0073,"$84,948",85572,Standard Accounts
Taylor Distribution,"Bobbyland, WV, US",Seafood,$25mm - $50mm,$10k - $25k,3,"$2,066","$2,087",$21,0.0102,"$24,792",25044,Standard Accounts
Davis Supply Co.,"Thompsonburgh, UT, US",Specialty,< $10mm,$10k - $25k,1,"$1,727","$1,745",$18,0.0104,"$20,724",20940,Standard Accounts
Jones Foods,"Emilychester, MB, Canada",Coffee,< $10mm,< $10k,2,$765,$773,$8,0.0105,"$9,180",9276,Standard Accounts
Barnes Foods,"West Daryl, AK, US",Broadline,$10mm - $25mm,$25k - $50k,1,"$2,274","$2,299",$25,0.011000000000000001,"$27,288",27588,Standard Accounts
Washington Supply Co.,"South Melissaside, PE, Canada",Broadline,< $10mm,$10k - $25k,2,"$2,071","$2,096",$25,0.0121,"$24,852",25152,Standard Accounts
Morris Enterprises,"Janetview, NM, US",Broadline,$25mm - $50mm,$50 - $75k,3,"$4,893","$4,956",$63,0.0129,"$58,716",59472,Standard Accounts
Andrews Logistics,"Nataliechester, ON, Canada",Broadline,$100mm - $250mm,$75k - $100k,3,"$7,812","$7,913",$101,0.0129,"$93,744",94956,Standard Accounts
Wagner Foods,"East Alexisbury, WV, US",Specialty,$1bn+,$100k - $250k,1,"$13,959","$14,142",$183,0.0131,"$167,508",169704,Key Accounts
Schmidt Supply Co.,"Lake Cameronborough, VA, US",Broadline,$10mm - $25mm,$10k - $25k,1,"$1,927","$1,953",$26,0.013500000000000002,"$23,124",23436,Standard Accounts
Shah Enterprises,"West Jessica, MN, US",Broadline,$25mm - $50mm,$75k - $100k,2,"$6,689","$6,781",$92,0.0138,"$80,268",81372,Standard Accounts
Ray Supply Co.,"Port Joshuabury, MS, US",Meat,$10mm - $25mm,$50 - $75k,2,"$5,661","$5,745",$84,0.0148,"$67,932",68940,Standard Accounts
Diaz Distribution,"New Nancyberg, DE, US",Produce,$1bn+,$100k - $250k,1,"$17,271","$17,536",$265,0.015300000000000001,"$207,252",210432,Key Accounts
Johnson Logistics,"West Nancy, MA, US",Jan-San,$10mm - $25mm,$50 - $75k,3,"$5,449","$5,535",$86,0.0158,"$65,388",66420,Standard Accounts
Caldwell Enterprises,"Morrisonchester, IA, US",Broadline,$25mm - $50mm,$50 - $75k,1,"$4,913","$4,992",$79,0.0161,"$58,956",59904,Standard Accounts
Holmes Foods,"Johnsonborough, NY, US",Meat,$50mm - $100mm,$100k - $250k,1,"$8,503","$8,642",$139,0.0163,"$102,036",103704,Key Accounts
Miller Foods,"Mariafurt, QC, Canada",C-Store,$250mm - $500mm,$250k+,1,"$24,949","$25,364",$415,0.0166,"$299,388",304368,Key Accounts
Andrews Distribution,"South Kimberlystad, VT, US",Jan-San,$100mm - $250mm,$100k - $250k,1,"$17,228","$17,517",$289,0.0168,"$206,736",210204,Key Accounts
Sparks Foods,"Port Shawn, NV, US",Broadline,$10mm - $25mm,$10k - $25k,1,"$1,235","$1,256",$21,0.017,"$14,820",15072,Standard Accounts
Branch Enterprises,"Connerfort, PA, US",Broadline,$100mm - $250mm,$25k - $50k,2,"$3,664","$3,727",$63,0.0172,"$43,968",44724,Standard Accounts
Schultz Enterprises,"East Brendafurt, NY, US",Ice Cream,$25mm - $50mm,$10k - $25k,1,"$1,145","$1,165",$20,0.0175,"$13,740",13980,Standard Accounts
Long Supply Co.,"Port Jenniferside, MB, Canada",Produce,< $10mm,$25k - $50k,4,"$3,362","$3,421",$59,0.0175,"$40,344",41052,Standard Accounts
Gibson Logistics,"Lake Kelliview, NY, US",Jan-San,< $10mm,$10k - $25k,1,"$1,229","$1,251",$22,0.0179,"$14,748",15012,Standard Accounts
Mckee Logistics,"Christopherville, MT, US",Broadline,< $10mm,$10k - $25k,1,$969,$987,$18,0.018600000000000002,"$11,628",11844,Standard Accounts
Drake Foods,"New Lorraineview, NJ, US",Jan-San,$100mm - $250mm,$75k - $100k,1,"$6,788","$6,915",$127,0.0187,"$81,456",82980,Standard Accounts
Wright Enterprises,"North Stacy, OR, US",C-Store,$10mm - $25mm,$50 - $75k,1,"$5,500","$5,603",$103,0.0187,"$66,000",67236,Standard Accounts
Evans Distribution,"Murrayport, MS, US",C-Store,< $10mm,$10k - $25k,2,"$1,819","$1,854",$35,0.0192,"$21,828",22248,Standard Accounts
Baker Logistics,"Diazbury, OH, US",Broadline,$10mm - $25mm,$50 - $75k,1,"$4,489","$4,576",$87,0.0194,"$53,868",54912,Standard Accounts
Byrd Enterprises,"North Eric, CT, US",C-Store,$10mm - $25mm,< $10k,2,$802,$818,$16,0.02,"$9,624",9816,Standard Accounts
Haney Supply Co.,"New Danielfurt, FL, US",Broadline,$25mm - $50mm,$100k - $250k,1,"$8,548","$8,719",$171,0.02,"$102,576",104628,Key Accounts
Ramirez Supply Co.,"West Nancy, ON, Canada",Broadline,$10mm - $25mm,$10k - $25k,1,"$1,017","$1,039",$22,0.0216,"$12,204",12468,Standard Accounts
Flynn Enterprises,"Port Heather, NV, US",Produce,$50mm - $100mm,$100k - $250k,2,"$11,943","$12,203",$260,0.0218,"$143,316",146436,Key Accounts
Garcia Logistics,"North Elizabeth, DE, US",C-Store,< $10mm,$25k - $50k,1,"$3,793","$3,876",$83,0.0219,"$45,516",46512,Standard Accounts
Salinas Supply Co.,"Davidton, NH, US",Produce,< $10mm,< $10k,2,$639,$653,$14,0.0219,"$7,668",7836,Standard Accounts
Moreno Logistics,"Shannonhaven, PE, Canada",Broadline,$100mm - $250mm,$25k - $50k,1,"$2,370","$2,422",$52,0.0219,"$28,440",29064,Standard Accounts
Hodge Logistics,"Schroedermouth, TN, US",Produce,$50mm - $100mm,$100k - $250k,3,"$11,601","$11,862",$261,0.0225,"$139,212",142344,Key Accounts
Walton Foods,"Cabrerastad, WA, US",Produce,$25mm - $50mm,$50 - $75k,1,"$5,601","$5,728",$127,0.0227,"$67,212",68736,Standard Accounts
Jordan Logistics,"Nathanland, QC, Canada",Produce,< $10mm,$25k - $50k,3,"$3,818","$3,908",$90,0.0236,"$45,816",46896,Standard Accounts
Robbins Foods,"Lake Jesse, MI, US",Ice Cream,$50mm - $100mm,$25k - $50k,1,"$2,890","$2,961",$71,0.0246,"$34,680",35532,Standard Accounts
Walker Enterprises,"East Phyllishaven, IL, US",C-Store,$25mm - $50mm,$100k - $250k,4,"$8,855","$9,078",$223,0.0252,"$106,260",108936,Key Accounts
Cardenas Supply Co.,"Rhodesside, CO, US",Produce,$10mm - $25mm,$75k - $100k,1,"$6,784","$6,957",$173,0.0255,"$81,408",83484,Standard Accounts
Hall Foods,"Bellfurt, FL, US",C-Store,$25mm - $50mm,$50 - $75k,1,"$5,858","$6,008",$150,0.0256,"$70,296",72096,Standard Accounts
Herrera Supply Co.,"Andrewport, NL, Canada",Seafood,$250mm - $500mm,$100k - $250k,1,"$9,841","$10,102",$261,0.0265,"$118,092",121224,Key Accounts
Davis Logistics,"New Ericmouth, MS, US",C-Store,$100mm - $250mm,$100k - $250k,2,"$11,763","$12,078",$315,0.0268,"$141,156",144936,Key Accounts
Contreras Supply Co.,"West Malik, BC, Canada",Broadline,$500mm - $1bn,$25k - $50k,1,"$2,344","$2,408",$64,0.0273,"$28,128",28896,Standard Accounts
Fowler Logistics,"Shawnberg, MA, US",C-Store,< $10mm,$10k - $25k,2,"$2,000","$2,055",$55,0.0275,"$24,000",24660,Standard Accounts
Lucas Supply Co.,"Davisbury, VT, US",Produce,$100mm - $250mm,$50 - $75k,4,"$5,115","$5,256",$141,0.0276,"$61,380",63072,Standard Accounts
Taylor Distribution,"Micheleberg, NH, US",Jan-San,$10mm - $25mm,$10k - $25k,1,"$1,150","$1,182",$32,0.0278,"$13,800",14184,Standard Accounts
Chambers Distribution,"Melissahaven, MB, Canada",Broadline,$25mm - $50mm,$25k - $50k,1,"$3,082","$3,168",$86,0.0279,"$36,984",38016,Standard Accounts
Whitney Enterprises,"Lake Peter, CA, US",Jan-San,$10mm - $25mm,$50 - $75k,3,"$6,246","$6,431",$185,0.0296,"$74,952",77172,Standard Accounts
Morgan Enterprises,"South Geraldmouth, IN, US",Jan-San,$250mm - $500mm,$100k - $250k,2,"$17,267","$17,789",$522,0.0302,"$207,204",213468,Key Accounts
Wolfe Logistics,"East Joshuashire, GA, US",Broadline,$10mm - $25mm,$25k - $50k,1,"$2,376","$2,448",$72,0.030299999999999997,"$28,512",29376,Standard Accounts
Yu Foods,"Jimenezport, TX, US",Jan-San,$10mm - $25mm,$25k - $50k,1,"$3,365","$3,467",$102,0.030299999999999997,"$40,380",41604,Standard Accounts
Ryan Enterprises,"Brooksland, MN, US",Broadline,$250mm - $500mm,$250k+,1,"$21,372","$22,020",$648,0.030299999999999997,"$256,464",264240,Key Accounts
Rasmussen Distribution,"Barbaramouth, NS, Canada",Jan-San,$10mm - $25mm,< $10k,1,$785,$809,$24,0.030600000000000002,"$9,420",9708,Standard Accounts
Carter Distribution,"Stewartfort, NB, Canada",Broadline,< $10mm,< $10k,1,$646,$666,$20,0.031,"$7,752",7992,Standard Accounts
Martinez Enterprises,"Tamiborough, NL, Canada",Broadline,< $10mm,$25k - $50k,1,"$2,523","$2,604",$81,0.0321,"$30,276",31248,Standard Accounts
Higgins Distribution,"Shawnton, PA, US",C-Store,$50mm - $100mm,$10k - $25k,1,"$1,509","$1,558",$49,0.0325,"$18,108",18696,Standard Accounts
Steele Enterprises,"South Jason, BC, Canada",Seafood,< $10mm,$10k - $25k,1,"$1,120","$1,157",$37,0.033,"$13,440",13884,Standard Accounts
Lyons Foods,"Lake Michaelland, CT, US",C-Store,$10mm - $25mm,$25k - $50k,1,"$3,175","$3,281",$106,0.0334,"$38,100",39372,Standard Accounts
Torres Supply Co.,"Lake Charlestown, PE, Canada",Meat,$100mm - $250mm,$100k - $250k,1,"$9,814","$10,142",$328,0.0334,"$117,768",121704,Key Accounts
Peterson Enterprises,"Oscarhaven, TN, US",Produce,$250mm - $500mm,$250k+,2,"$23,664","$24,460",$796,0.0336,"$283,968",293520,Key Accounts
Parker Foods,"Lake Martin, MN, US",Broadline,< $10mm,$25k - $50k,1,"$3,267","$3,377",$110,0.0337,"$39,204",40524,Standard Accounts
Santana Distribution,"New Samanthabury, DE, US",C-Store,$50mm - $100mm,$100k - $250k,1,"$11,926","$12,329",$403,0.0338,"$143,112",147948,Key Accounts
Davis Supply Co.,"East Jenniferland, NM, US",Seafood,$10mm - $25mm,$25k - $50k,3,"$4,135","$4,276",$141,0.0341,"$49,620",51312,Standard Accounts
Mccann Logistics,"West Joshua, PE, Canada",Broadline,$25mm - $50mm,$50 - $75k,1,"$5,950","$6,158",$208,0.035,"$71,400",73896,Standard Accounts
Kennedy Distribution,"Newmanmouth, TN, US",Seafood,< $10mm,$25k - $50k,4,"$2,747","$2,848",$101,0.0368,"$32,964",34176,Standard Accounts
Morgan Enterprises,"Stewartfurt, ID, US",Broadline,$100mm - $250mm,$100k - $250k,1,"$8,833","$9,163",$330,0.0374,"$105,996",109956,Key Accounts
Bernard Logistics,"South Pamelaside, WI, US",C-Store,$50mm - $100mm,$10k - $25k,1,"$1,373","$1,426",$53,0.038599999999999995,"$16,476",17112,Standard Accounts
Ramirez Foods,"East Kristy, QC, Canada",Ice Cream,$25mm - $50mm,$75k - $100k,3,"$8,278","$8,612",$334,0.0403,"$99,336",103344,Key Accounts
Harris Foods,"South Markfort, BC, Canada",Produce,$50mm - $100mm,$25k - $50k,1,"$3,681","$3,831",$150,0.0407,"$44,172",45972,Standard Accounts
Bell Logistics,"West Michaelmouth, PA, US",Meat,$25mm - $50mm,$25k - $50k,1,"$2,275","$2,368",$93,0.0409,"$27,300",28416,Standard Accounts
Ortiz Logistics,"Whiteside, WA, US",Coffee,$10mm - $25mm,$50 - $75k,1,"$5,301","$5,518",$217,0.0409,"$63,612",66216,Standard Accounts
Davis Supply Co.,"North Shannon, IA, US",Ice Cream,$1bn+,$250k+,2,"$38,522","$40,102","$1,580",0.040999999999999995,"$462,264",481224,Key Accounts
Ball Supply Co.,"New Wendy, PE, Canada",Bakery,$50mm - $100mm,$100k - $250k,3,"$11,011","$11,463",$452,0.040999999999999995,"$132,132",137556,Key Accounts
Byrd Supply Co.,"Smithside, WY, US",C-Store,$25mm - $50mm,$50 - $75k,2,"$6,097","$6,354",$257,0.042199999999999994,"$73,164",76248,Standard Accounts
Shaffer Distribution,"North Marcberg, NJ, US",Jan-San,$50mm - $100mm,$100k - $250k,1,"$8,775","$9,150",$375,0.042699999999999995,"$105,300",109800,Key Accounts
Pearson Enterprises,"Port Amandaborough, KY, US",C-Store,$25mm - $50mm,$25k - $50k,1,"$3,298","$3,443",$145,0.044000000000000004,"$39,576",41316,Standard Accounts
Burton Distribution,"Port David, UT, US",Coffee,$25mm - $50mm,$10k - $25k,1,"$1,966","$2,054",$88,0.044800000000000006,"$23,592",24648,Standard Accounts
Walls Distribution,"Hillton, NV, US",Jan-San,$50mm - $100mm,$25k - $50k,2,"$4,109","$4,293",$184,0.044800000000000006,"$49,308",51516,Standard Accounts
Munoz Enterprises,"Stephaniefort, WI, US",Broadline,$100mm - $250mm,$100k - $250k,2,"$8,968","$9,373",$405,0.0452,"$107,616",112476,Key Accounts
Walsh Foods,"Port Tanyaside, IL, US",Meat,$250mm - $500mm,$50 - $75k,1,"$4,760","$4,975",$215,0.0452,"$57,120",59700,Standard Accounts
Cortez Logistics,"Jonathanfort, MS, US",Broadline,< $10mm,$10k - $25k,1,"$1,542","$1,612",$70,0.0454,"$18,504",19344,Standard Accounts
Pena Enterprises,"Gabriellaland, OH, US",C-Store,$50mm - $100mm,$25k - $50k,1,"$2,545","$2,666",$121,0.0475,"$30,540",31992,Standard Accounts
Cox Enterprises,"Lake Jamie, WY, US",C-Store,$25mm - $50mm,$25k - $50k,3,"$2,909","$3,049",$140,0.0481,"$34,908",36588,Standard Accounts
Knight Enterprises,"Michaelton, GA, US",Produce,$100mm - $250mm,$100k - $250k,1,"$16,265","$17,066",$801,0.0492,"$195,180",204792,Key Accounts
Russell Supply Co.,"New Amanda, QC, Canada",Produce,$25mm - $50mm,$10k - $25k,2,"$1,515","$1,591",$76,0.050199999999999995,"$18,180",19092,Standard Accounts
Marshall Logistics,"North Richardfurt, AZ, US",C-Store,$50mm - $100mm,$50 - $75k,2,"$5,406","$5,678",$272,0.050300000000000004,"$64,872",68136,Standard Accounts
Hayden Foods,"Port James, NB, Canada",Broadline,< $10mm,$25k - $50k,3,"$2,798","$2,940",$142,0.0508,"$33,576",35280,Standard Accounts
Torres Enterprises,"Grantside, NC, US",Seafood,$100mm - $250mm,$100k - $250k,1,"$16,814","$17,671",$857,0.051,"$201,768",212052,Key Accounts
Ball Distribution,"Josehaven, AL, US",Broadline,$10mm - $25mm,$10k - $25k,2,"$1,440","$1,514",$74,0.051399999999999994,"$17,280",18168,Standard Accounts
Hill Logistics,"Port Bryan, RI, US",Produce,$50mm - $100mm,$100k - $250k,3,"$11,086","$11,657",$571,0.051500000000000004,"$133,032",139884,Key Accounts
Hoffman Logistics,"Welchview, MS, US",Coffee,$100mm - $250mm,$100k - $250k,2,"$11,052","$11,623",$571,0.051699999999999996,"$132,624",139476,Key Accounts
Robinson Logistics,"Donaldmouth, NY, US",Jan-San,$10mm - $25mm,$10k - $25k,2,"$1,098","$1,155",$57,0.0519,"$13,176",13860,Standard Accounts
Alexander Supply Co.,"South Dianemouth, NL, Canada",Broadline,$10mm - $25mm,$25k - $50k,2,"$2,578","$2,712",$134,0.052000000000000005,"$30,936",32544,Standard Accounts
Jackson Distribution,"South Conniebury, MS, US",Coffee,$10mm - $25mm,$50 - $75k,1,"$5,701","$5,998",$297,0.0521,"$68,412",71976,Standard Accounts
Larson Foods,"Novakport, IN, US",Produce,$50mm - $100mm,$100k - $250k,1,"$10,765","$11,333",$568,0.0528,"$129,180",135996,Key Accounts
Brown Logistics,"Carloston, PA, US",Specialty,$100mm - $250mm,$100k - $250k,1,"$11,478","$12,093",$615,0.0536,"$137,736",145116,Key Accounts
Marshall Enterprises,"East Joycetown, WA, US",Broadline,$50mm - $100mm,$25k - $50k,1,"$4,105","$4,325",$220,0.0536,"$49,260",51900,Standard Accounts
Francis Logistics,"Hughesfurt, MT, US",C-Store,$50mm - $100mm,$75k - $100k,1,"$8,315","$8,763",$448,0.053899999999999997,"$99,780",105156,Key Accounts
Cherry Enterprises,"New Robert, SK, Canada",C-Store,< $10mm,$25k - $50k,1,"$3,527","$3,718",$191,0.0542,"$42,324",44616,Standard Accounts
Wolfe Distribution,"Annaport, AZ, US",Coffee,$25mm - $50mm,$75k - $100k,1,"$7,001","$7,381",$380,0.054299999999999994,"$84,012",88572,Standard Accounts
Costa Logistics,"North Melissaburgh, RI, US",Jan-San,$10mm - $25mm,$75k - $100k,2,"$6,950","$7,328",$378,0.054400000000000004,"$83,400",87936,Standard Accounts
Gilbert Foods,"Amandaport, ID, US",Produce,< $10mm,$10k - $25k,3,"$1,812","$1,911",$99,0.0546,"$21,744",22932,Standard Accounts
Crawford Distribution,"North Juliaborough, CO, US",Jan-San,$10mm - $25mm,$50 - $75k,1,"$4,591","$4,842",$251,0.0547,"$55,092",58104,Standard Accounts
Johnston Supply Co.,"Port Courtney, QC, Canada",C-Store,< $10mm,$25k - $50k,1,"$3,909","$4,124",$215,0.055,"$46,908",49488,Standard Accounts
Foley Foods,"Gomezstad, MD, US",Meat,$10mm - $25mm,$25k - $50k,1,"$2,190","$2,312",$122,0.0557,"$26,280",27744,Standard Accounts
Brown Supply Co.,"East Benjamin, IA, US",Broadline,$25mm - $50mm,$25k - $50k,3,"$2,403","$2,537",$134,0.0558,"$28,836",30444,Standard Accounts
Davenport Distribution,"Frenchmouth, AB, Canada",Ice Cream,$250mm - $500mm,$100k - $250k,1,"$18,425","$19,453","$1,028",0.0558,"$221,100",233436,Key Accounts
Williams Foods,"Johnathanbury, MT, US",C-Store,< $10mm,$10k - $25k,1,$857,$905,$48,0.055999999999999994,"$10,284",10860,Standard Accounts
Vasquez Logistics,"Port Bonniefurt, MO, US",Jan-San,$100mm - $250mm,$100k - $250k,1,"$15,888","$16,780",$892,0.056100000000000004,"$190,656",201360,Key Accounts
Gibson Supply Co.,"East Jack, PA, US",Broadline,$50mm - $100mm,$25k - $50k,1,"$2,684","$2,836",$152,0.056600000000000004,"$32,208",34032,Standard Accounts
Jones Foods,"Manuelland, WY, US",C-Store,$100mm - $250mm,$50 - $75k,2,"$5,523","$5,841",$318,0.0576,"$66,276",70092,Standard Accounts
Byrd Enterprises,"Lake Victoria, MT, US",Produce,$25mm - $50mm,$75k - $100k,1,"$7,593","$8,031",$438,0.057699999999999994,"$91,116",96372,Standard Accounts
Berger Supply Co.,"Montoyaland, AB, Canada",Meat,$25mm - $50mm,$10k - $25k,1,"$1,708","$1,807",$99,0.057999999999999996,"$20,496",21684,Standard Accounts
Shaw Logistics,"Jadeport, ON, Canada",Produce,$500mm - $1bn,$50 - $75k,2,"$4,635","$4,906",$271,0.058499999999999996,"$55,620",58872,Standard Accounts
Hill Supply Co.,"East Michaelport, CA, US",Broadline,$50mm - $100mm,$25k - $50k,3,"$2,541","$2,694",$153,0.0602,"$30,492",32328,Standard Accounts
Murray Distribution,"Lewisborough, SC, US",Broadline,$25mm - $50mm,$25k - $50k,1,"$4,052","$4,296",$244,0.0602,"$48,624",51552,Standard Accounts
Anderson Supply Co.,"Lake Zacharybury, KS, US",Specialty,$25mm - $50mm,$75k - $100k,1,"$6,636","$7,037",$401,0.0604,"$79,632",84444,Standard Accounts
Henderson Logistics,"Port Randyfort, MI, US",Produce,< $10mm,$25k - $50k,3,"$2,523","$2,676",$153,0.060599999999999994,"$30,276",32112,Standard Accounts
Williams Logistics,"Youngport, MS, US",Broadline,$10mm - $25mm,$10k - $25k,2,"$1,827","$1,938",$111,0.0608,"$21,924",23256,Standard Accounts
Oliver Enterprises,"West Melissa, MI, US",Broadline,$50mm - $100mm,$100k - $250k,1,"$8,680","$9,211",$531,0.061200000000000004,"$104,160",110532,Key Accounts
Allen Distribution,"South Donald, IL, US",C-Store,$25mm - $50mm,$75k - $100k,1,"$6,901","$7,325",$424,0.061399999999999996,"$82,812",87900,Standard Accounts
Miller Distribution,"Richardsonfort, TX, US",Broadline,$10mm - $25mm,$50 - $75k,1,"$4,839","$5,137",$298,0.0616,"$58,068",61644,Standard Accounts
Farmer Foods,"Sawyerside, TN, US",C-Store,$250mm - $500mm,$100k - $250k,1,"$17,775","$18,879","$1,104",0.0621,"$213,300",226548,Key Accounts
Reid Logistics,"Hendersonfurt, NM, US",Ice Cream,$50mm - $100mm,$25k - $50k,2,"$3,909","$4,153",$244,0.062400000000000004,"$46,908",49836,Standard Accounts
Pacheco Foods,"South Melaniechester, CT, US",Meat,$250mm - $500mm,$100k - $250k,1,"$19,431","$20,678","$1,247",0.0642,"$233,172",248136,Key Accounts
Aguilar Foods,"South Karen, TN, US",Jan-San,$25mm - $50mm,$25k - $50k,1,"$3,699","$3,938",$239,0.0646,"$44,388",47256,Standard Accounts
Wheeler Enterprises,"South Samuelchester, PE, Canada",Jan-San,$250mm - $500mm,$100k - $250k,3,"$16,431","$17,495","$1,064",0.06480000000000001,"$197,172",209940,Key Accounts
Sanchez Logistics,"South Brettside, MT, US",Broadline,$25mm - $50mm,$75k - $100k,4,"$6,365","$6,779",$414,0.065,"$76,380",81348,Standard Accounts
Johnson Foods,"Alfredview, MO, US",C-Store,$500mm - $1bn,$25k - $50k,1,"$4,037","$4,300",$263,0.06509999999999999,"$48,444",51600,Standard Accounts
Nunez Distribution,"Mcintyreville, ON, Canada",Broadline,$10mm - $25mm,$25k - $50k,1,"$2,317","$2,468",$151,0.0652,"$27,804",29616,Standard Accounts
Medina Foods,"Elizabethburgh, UT, US",Broadline,< $10mm,$10k - $25k,1,"$2,071","$2,206",$135,0.0652,"$24,852",26472,Standard Accounts
Hicks Enterprises,"West Cassidy, MB, Canada",Jan-San,< $10mm,$10k - $25k,1,"$1,908","$2,033",$125,0.0655,"$22,896",24396,Standard Accounts
Henson Logistics,"Heatherberg, GA, US",Produce,$10mm - $25mm,$25k - $50k,1,"$2,972","$3,167",$195,0.06559999999999999,"$35,664",38004,Standard Accounts
Reed Enterprises,"Barnesbury, SD, US",Broadline,$50mm - $100mm,$10k - $25k,2,"$1,987","$2,120",$133,0.0669,"$23,844",25440,Standard Accounts
Reed Distribution,"Cruzbury, SD, US",Jan-San,$250mm - $500mm,$250k+,1,"$23,018","$24,572","$1,554",0.0675,"$276,216",294864,Key Accounts
Rios Logistics,"Jamesberg, MD, US",C-Store,$1bn+,$250k+,2,"$35,770","$38,199","$2,429",0.0679,"$429,240",458388,Key Accounts
Fowler Distribution,"Shawchester, NH, US",Broadline,$100mm - $250mm,$25k - $50k,1,"$3,534","$3,774",$240,0.0679,"$42,408",45288,Standard Accounts
Hamilton Logistics,"Port Margaret, NV, US",Meat,$25mm - $50mm,$50 - $75k,2,"$5,445","$5,816",$371,0.0681,"$65,340",69792,Standard Accounts
Daniel Distribution,"Port Jonathan, PE, Canada",Broadline,$10mm - $25mm,$25k - $50k,1,"$2,670","$2,855",$185,0.0693,"$32,040",34260,Standard Accounts
Smith Supply Co.,"Angelamouth, CA, US",Ice Cream,$500mm - $1bn,$250k+,2,"$31,951","$34,184","$2,233",0.0699,"$383,412",410208,Key Accounts
Galvan Distribution,"West Robertberg, NH, US",Jan-San,$100mm - $250mm,$100k - $250k,2,"$13,356","$14,292",$936,0.0701,"$160,272",171504,Key Accounts
Taylor Enterprises,"Philipshire, NE, US",Broadline,$25mm - $50mm,$50 - $75k,1,"$4,956","$5,306",$350,0.0706,"$59,472",63672,Standard Accounts
Carroll Enterprises,"Lake Amyburgh, ON, Canada",C-Store,$10mm - $25mm,$25k - $50k,1,"$2,607","$2,792",$185,0.071,"$31,284",33504,Standard Accounts
Murray Distribution,"East Lisa, AR, US",C-Store,$25mm - $50mm,$50 - $75k,1,"$4,771","$5,110",$339,0.0711,"$57,252",61320,Standard Accounts
Olson Logistics,"East Lauraside, OK, US",Seafood,$10mm - $25mm,$25k - $50k,3,"$3,483","$3,735",$252,0.0724,"$41,796",44820,Standard Accounts
Smith Distribution,"Nancytown, TN, US",Broadline,$10mm - $25mm,$25k - $50k,1,"$2,497","$2,678",$181,0.0725,"$29,964",32136,Standard Accounts
Bright Supply Co.,"Stoutshire, PE, Canada",C-Store,$25mm - $50mm,$25k - $50k,1,"$3,682","$3,952",$270,0.0733,"$44,184",47424,Standard Accounts
Wood Supply Co.,"West Scottchester, PE, Canada",Specialty,$100mm - $250mm,$25k - $50k,1,"$4,074","$4,373",$299,0.07339999999999999,"$48,888",52476,Standard Accounts
Rodriguez Supply Co.,"South John, AB, Canada",Specialty,$10mm - $25mm,$75k - $100k,3,"$6,531","$7,012",$481,0.0736,"$78,372",84144,Standard Accounts
Tucker Foods,"West Stacey, NE, US",Jan-San,$25mm - $50mm,$25k - $50k,2,"$3,958","$4,253",$295,0.0745,"$47,496",51036,Standard Accounts
Molina Supply Co.,"Port Emily, TX, US",Jan-San,< $10mm,$10k - $25k,3,"$1,800","$1,936",$136,0.0756,"$21,600",23232,Standard Accounts
Roberts Foods,"Michaelburgh, CO, US",Ice Cream,$50mm - $100mm,$50 - $75k,1,"$5,939","$6,388",$449,0.0756,"$71,268",76656,Standard Accounts
Sanchez Distribution,"Yorkfort, SD, US",Produce,$50mm - $100mm,$75k - $100k,1,"$7,793","$8,389",$596,0.0765,"$93,516",100668,Key Accounts
Lee Supply Co.,"Patrickshire, CT, US",Broadline,$25mm - $50mm,$25k - $50k,1,"$2,128","$2,291",$163,0.0766,"$25,536",27492,Standard Accounts
Powell Supply Co.,"Gonzalezberg, CT, US",Broadline,< $10mm,$25k - $50k,2,"$2,741","$2,952",$211,0.077,"$32,892",35424,Standard Accounts
Sanchez Enterprises,"Hawkinshaven, MB, Canada",Seafood,$500mm - $1bn,$100k - $250k,2,"$11,295","$12,172",$877,0.0776,"$135,540",146064,Key Accounts
Phillips Distribution,"Port Adamberg, WV, US",C-Store,$10mm - $25mm,$75k - $100k,3,"$6,328","$6,820",$492,0.07769999999999999,"$75,936",81840,Standard Accounts
Wilson Foods,"Sandraview, PE, Canada",Seafood,< $10mm,$25k - $50k,3,"$2,284","$2,462",$178,0.0779,"$27,408",29544,Standard Accounts
Mata Foods,"East Teresaside, MD, US",Broadline,$100mm - $250mm,$25k - $50k,2,"$2,957","$3,190",$233,0.0788,"$35,484",38280,Standard Accounts
Wheeler Enterprises,"West Angela, MA, US",Jan-San,$500mm - $1bn,$100k - $250k,2,"$17,414","$18,791","$1,377",0.0791,"$208,968",225492,Key Accounts
Brennan Supply Co.,"Port Andrewport, ND, US",Broadline,$500mm - $1bn,$100k - $250k,3,"$16,379","$17,687","$1,308",0.0799,"$196,548",212244,Key Accounts
Calderon Foods,"New Williamberg, VT, US",Produce,$10mm - $25mm,$25k - $50k,1,"$3,849","$4,158",$309,0.0803,"$46,188",49896,Standard Accounts
Mcclain Foods,"Port Molly, NJ, US",Broadline,$50mm - $100mm,$25k - $50k,3,"$3,757","$4,060",$303,0.0806,"$45,084",48720,Standard Accounts
Mcmillan Supply Co.,"Stephanieberg, PA, US",Specialty,< $10mm,$25k - $50k,2,"$3,670","$3,967",$297,0.0809,"$44,040",47604,Standard Accounts
Rubio Logistics,"North Alyssa, NL, Canada",Broadline,$100mm - $250mm,$75k - $100k,1,"$6,672","$7,214",$542,0.0812,"$80,064",86568,Standard Accounts
